,Segment ID,Roadway Name,From,To,From Lat,From Lon,To Lat,To Lon
182,38055, 2 AVE  , EAST 99 ST  , EAST 100 ST  ,40.7862118,-73.94574519999999,40.7868424,-73.94527719999999
183,38361,AMSTERDAM AVE , WEST 118 ST , WEST 119 ST,40.80812,-73.960106,40.8087566,-73.9596542
184,38489,MANHATTAN AVENUE,WEST 119 STREET,WEST 120 STREET,40.806966,-73.955411,40.8076104,-73.954949
185,38619, 8 AVE  , WEST 123 ST , WEST 124 ST ,40.8088725,-73.9521231,40.80949,-73.951664
186,38868,WEST 135 STREET,8 AVENUE,EDGECOMBE AVENUE,40.81651919999999,-73.9465432,40.81708450000001,-73.94791649999999
187,39011, AMSTERDAM AVE , WEST 147 ST , WEST 148 ST,40.8265254,-73.94667369999999,40.8271476,-73.9462162
188,41000,AVENUE M,EAST 45 STREET,EAST 46 STREET,40.6210537,-73.93195899999999,40.621116,-73.93102379999999
189,41034,AVENUE J,EAST 46 STREET,SCHENECTADY AVENUE,40.627928,-73.9317445,40.6279898,-73.9307752
190,41312, AVENUE U  , EAST 56 STREET  , PEARSON STREET ,40.6120815,-73.91899180000001,40.612575,-73.91825159999999
191,41546, AVENUE U  , EAST 66 STREET  , EAST 67 STREET  ,40.6173156,-73.9109434,40.6177833,-73.9102448
192,41667, AVENUE U  , EAST 71 STREET  , EAST 72 STREET  ,40.61982709999999,-73.9074425,40.620301,-73.90673679999999
193,41720,AVENUE D,BROOKLYN AVENUE,EAST 37 STREET,40.6413087,-73.9427477,40.6413645,-73.9417866
194,41736,CLARENDON ROAD,BROOKLYN AVENUE,EAST 37 STREET,40.6436072,-73.942996,40.6436749,-73.94202829999999
195,41813,ALBANY AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,40.6369177,-73.9375112,40.6346452,-73.9372722
196,41864,ALBANY AVE,LENOX RD ,LINDEN BLVD,40.6547923,-73.9394248,40.6532651,-73.9392596
197,42387,GLENWOOD ROAD,EAST 59 STREET,RALPH AVENUE,40.6338533,-73.9198018,40.634521,-73.9188009
198,42542,FLATLANDS AVENUE,EAST 78 STREET,EAST 79 STREET,40.6345555,-73.91476,40.6350033,-73.9140618
199,42955,ALBANY AVE,MIDWOOD ST,RUTLAND RD,40.6607888,-73.9398118,40.6600772,-73.9397297
200,43074,ALBANY AVE,LINCOLN PL,ST JOHN'S PL,40.67018849999999,-73.9393405,40.6710418,-73.9392515
201,43527, MAC DOUGAL STREET , FULTON STREET  , RALPH AVENUE  ,40.6788676,-73.9216476,40.6788676,-73.9216476
202,43660, HOWARD AVENUE , BAINBRIDGE STREET , CHAUNCEY STREET ,40.6822549,-73.91987809999999,40.6815208,-73.9197243
203,48370, HEGEMAN AVENUE , FOUNTAIN AVENUE , LOGAN STREET  ,40.668029,-73.8728529,40.667665,-73.873688
204,49090, VERMONT PLACE , HIGHLAND BOULEVARD , JACKIE ROBINSON PKWY ,40.6852446,-73.88815319999999,40.6908109,-73.8903758
205,49505, 73 PLACE  , 78 AVENUE  , COOPER AVENUE ,40.704207,-73.8761802,40.7056201,-73.8767399
206,51933,PITKIN AVE ,95th ST,96th ST,40.672429,-73.84118300000002,40.6725694,-73.840251
207,51982,LIBERTY AVE,98th ST,99th ST,40.680914,-73.8413461,40.6810797,-73.8404778
208,52940,JAMAICA AVE,101st ST,102nd ST,40.6950403,-73.84644639999999,40.6951656,-73.84541779999999
209,54575,SOUTH CONDUIT AVE,COHANCY ST,NASSAU EXPY,40.6671283,-73.8346293,40.6694983,-73.8461406
210,55804,111 AVE,142 STREET,143 STREET,40.685838,-73.80254599999999,40.68626860000001,-73.8012803
211,55805, BRINKERHOFF AVE, 111 AVE , 143 STREET  ,40.6859359,-73.80225399999999,40.6864541,-73.80155189999999
